date,exchange,status,start_time,end_time,holiday_name
2/21/2005,NYSE,closed,,,Washington's Birthday
2/23/2005,NYSE,economic,,,cpi
3/18/2005,NYSE,economic,,,witching
3/22/2005,NYSE,economic,,,fomc|ppi
3/23/2005,NYSE,economic,,,cpi
3/25/2005,NYSE,closed,,,Good Friday
4/19/2005,NYSE,economic,,,ppi
4/20/2005,NYSE,economic,,,cpi
5/3/2005,NYSE,economic,,,fomc
5/17/2005,NYSE,economic,,,ppi
5/18/2005,NYSE,economic,,,cpi
5/30/2005,NYSE,closed,,,Memorial Day
6/14/2005,NYSE,economic,,,ppi
6/15/2005,NYSE,economic,,,cpi
6/17/2005,NYSE,economic,,,witching
6/30/2005,NYSE,economic,,,fomc
7/4/2005,NYSE,closed,,,Independence Day
7/14/2005,NYSE,economic,,,ppi
7/15/2005,NYSE,economic,,,cpi
8/9/2005,NYSE,economic,,,fomc
8/15/2005,NYSE,economic,,,ppi
8/16/2005,NYSE,economic,,,cpi
9/5/2005,NYSE,closed,,,Labor Day
9/14/2005,NYSE,economic,,,ppi
9/15/2005,NYSE,economic,,,cpi
9/16/2005,NYSE,economic,,,witching
9/20/2005,NYSE,economic,,,fomc
10/14/2005,NYSE,economic,,,cpi
10/18/2005,NYSE,economic,,,ppi
11/1/2005,NYSE,economic,,,fomc
11/15/2005,NYSE,economic,,,ppi
11/16/2005,NYSE,economic,,,cpi
11/24/2005,NYSE,closed,,,Thanksgiving Day
11/25/2005,NYSE,short day,9:30,13:00,Black Friday
12/13/2005,NYSE,economic,,,fomc|ppi
12/14/2005,NYSE,economic,,,cpi
12/16/2005,NYSE,economic,,,witching
12/26/2005,NYSE,closed,,,Christmas Day Observed
1/2/2006,NYSE,closed,,,New Year's Day Observed
1/16/2006,NYSE,closed,,,Martin Luther King's Birthday
1/17/2006,NYSE,economic,,,ppi
1/18/2006,NYSE,economic,,,cpi
1/31/2006,NYSE,economic,,,fomc
2/20/2006,NYSE,closed,,,Washington's Birthday
2/21/2006,NYSE,economic,,,ppi
2/22/2006,NYSE,economic,,,cpi
3/17/2006,NYSE,economic,,,witching
3/21/2006,NYSE,economic,,,ppi
3/22/2006,NYSE,economic,,,cpi
3/28/2006,NYSE,economic,,,fomc
4/14/2006,NYSE,closed,,,Good Friday
4/18/2006,NYSE,economic,,,ppi
4/19/2006,NYSE,economic,,,cpi
5/10/2006,NYSE,economic,,,fomc
5/11/2006,NYSE,economic,,,ppi
5/17/2006,NYSE,economic,,,cpi
5/29/2006,NYSE,closed,,,Memorial Day
6/13/2006,NYSE,economic,,,ppi
6/14/2006,NYSE,economic,,,cpi
6/16/2006,NYSE,economic,,,witching
6/29/2006,NYSE,economic,,,fomc
7/3/2006,NYSE,short day,9:30,13:00,Independence Day
7/4/2006,NYSE,closed,,,Independence Day
7/18/2006,NYSE,economic,,,ppi
7/19/2006,NYSE,economic,,,cpi
8/8/2006,NYSE,economic,,,fomc
8/15/2006,NYSE,economic,,,ppi
8/16/2006,NYSE,economic,,,cpi
9/4/2006,NYSE,closed,,,Labor Day
9/14/2006,NYSE,economic,,,ppi
9/15/2006,NYSE,economic,,,cpi|witching
9/20/2006,NYSE,economic,,,fomc
10/17/2006,NYSE,economic,,,ppi
10/18/2006,NYSE,economic,,,cpi
10/25/2006,NYSE,economic,,,fomc
11/14/2006,NYSE,economic,,,ppi
11/16/2006,NYSE,economic,,,cpi
11/23/2006,NYSE,closed,,,Thanksgiving Day
11/24/2006,NYSE,short day,9:30,13:00,Black Friday
12/12/2006,NYSE,economic,,,fomc
12/14/2006,NYSE,economic,,,ppi
12/15/2006,NYSE,economic,,,cpi|witching
12/25/2006,NYSE,closed,,,Christmas Day
1/1/2007,NYSE,closed,,,New Year's Day
1/2/2007,NYSE,closed,,,Exchange Holiday
1/15/2007,NYSE,closed,,,Martin Luther King's Birthday
1/17/2007,NYSE,economic,,,ppi
1/18/2007,NYSE,economic,,,cpi
1/31/2007,NYSE,economic,,,fomc
2/16/2007,NYSE,economic,,,ppi
2/19/2007,NYSE,closed,,,Washington's Birthday
2/21/2007,NYSE,economic,,,cpi
3/16/2007,NYSE,economic,,,ppi|witching
3/20/2007,NYSE,economic,,,cpi
3/21/2007,NYSE,economic,,,fomc
4/6/2007,NYSE,closed,,,Good Friday
4/17/2007,NYSE,economic,,,cpi|ppi
5/9/2007,NYSE,economic,,,fomc
5/14/2007,NYSE,economic,,,ppi
5/15/2007,NYSE,economic,,,cpi
5/28/2007,NYSE,closed,,,Memorial Day
6/14/2007,NYSE,economic,,,ppi
6/15/2007,NYSE,economic,,,cpi|witching
6/28/2007,NYSE,economic,,,fomc
7/3/2007,NYSE,short day,9:30,13:00,Independence Day
7/4/2007,NYSE,closed,,,Independence Day
7/17/2007,NYSE,economic,,,ppi
7/18/2007,NYSE,economic,,,cpi
8/7/2007,NYSE,economic,,,fomc
8/14/2007,NYSE,economic,,,cpi|ppi
8/17/2007,NYSE,economic,,,fomc
9/3/2007,NYSE,closed,,,Labor Day
9/18/2007,NYSE,economic,,,fomc|ppi
9/19/2007,NYSE,economic,,,cpi
9/21/2007,NYSE,economic,,,witching
10/16/2007,NYSE,economic,,,ppi
10/17/2007,NYSE,economic,,,cpi
10/31/2007,NYSE,economic,,,fomc
11/14/2007,NYSE,economic,,,ppi
11/15/2007,NYSE,economic,,,cpi
11/22/2007,NYSE,closed,,,Thanksgiving Day
